id,name,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_since_year,host_response_rate(%),host_acceptance_rate(%),host_lives_in_the_same_neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,instant_bookable
33346748,"Comfortable Stay in Historic, Spacious Brownstone",within a few hours,True,4,True,True,2014,88.0,50.0,False,Kensington,Brooklyn,40.64517,-73.98116,Private room,12,2.0,5.0,6.0,695.0,30,1125,30,30,1125,1125,30.0,1125.0,67,False
1074177249739756939,Huge Kingbed w attached bath(2M)-last min special,within an hour,True,8,True,True,2017,100.0,100.0,True,Flushing,Queens,40.7569272763,-73.7966115531,Private room,2,1.0,1.0,1.0,52.0,30,365,30,30,365,365,30.0,365.0,0,False
613429806262281723,2BR Home TWO MINS from LGA Airport + Free Parking!,within a few hours,True,4,True,True,2019,100.0,95.0,False,East Elmhurst,Queens,40.76497,-73.87514,Entire home/apt,7,1.0,2.0,3.0,217.0,30,90,30,30,90,90,30.0,90.0,43,False
943544801089756841,Traveling Nurse Haven 1-3 mos,within an hour,False,1,True,True,2014,100.0,0.0,True,Fieldston,Bronx,40.89252,-73.89936,Private room,1,1.0,2.0,1.0,65.0,30,93,30,30,93,93,30.0,93.0,0,False
741178664950324853,Executive Apartment with every creature comfort,within an hour,True,1,True,True,2020,100.0,98.0,True,Jamaica,Queens,40.70725,-73.78822,Private room,2,1.0,1.0,2.0,102.0,1,60,1,3,1125,1125,2.9,1125.0,97,False
846635199398720517,Burganvilla Room near JFK/LGA Airport,within an hour,True,1,True,True,2021,100.0,94.0,True,Jamaica,Queens,40.6990447,-73.782098,Private room,2,1.0,0.0,0.0,90.0,1,30,1,1,30,30,1.0,30.0,15,False
926919329132078879,Classic room near jfk,within an hour,False,3,True,True,2023,100.0,99.0,True,Jamaica,Queens,40.6794214178,-73.795151446,Private room,2,1.0,1.0,1.0,120.0,30,365,30,30,365,365,30.0,365.0,19,True
886986524185344876,Waterfront Furnished Room 1,within a day,False,2,True,True,2021,100.0,86.0,False,Arverne,Queens,40.5964487512,-73.8030771775,Private room,2,1.0,1.0,1.0,50.0,30,365,30,30,365,365,30.0,365.0,1,False
25669472,Warm and cozy studio apartment,within an hour,True,4,True,False,2017,100.0,83.0,False,Queens Village,Queens,40.72183,-73.73607,Entire home/apt,2,1.0,1.0,1.0,95.0,30,180,30,30,1125,1125,30.0,1125.0,68,False
5895056,2 Flushing Sunny Garden View 舒适阳光房,within an hour,False,3,True,True,2015,100.0,96.0,True,Flushing,Queens,40.754,-73.80858,Private room,2,1.0,1.0,1.0,56.0,30,1125,30,30,1125,1125,30.0,1125.0,98,False
50313498,Sheepshead Bay Cute Furnished Room w/ Laundry #44,within an hour,True,452,True,True,2012,100.0,18.0,False,Sheepshead Bay,Brooklyn,40.5928,-73.95041,Private room,1,1.0,1.0,1.0,23.0,90,365,30,90,800,1000,55.9,886.4,0,False
30053410,City life by the beach.,within a few hours,False,1,True,True,2018,100.0,0.0,True,Brighton Beach,Brooklyn,40.58221,-73.96683,Private room,1,1.0,1.0,2.0,65.0,30,365,30,30,365,365,30.0,365.0,1,False
52024261,Spacious private room #2 in a 2 bed apt near JFK,within an hour,True,8,True,True,2014,100.0,94.0,False,Jamaica,Queens,40.69138,-73.79432,Private room,2,1.0,1.0,0.0,50.0,30,365,30,30,365,365,30.0,365.0,2,False
892749132585532786,Window room,within an hour,True,5,True,True,2021,100.0,99.0,True,Flushing,Queens,40.7669688308,-73.8015286163,Private room,1,1.0,1.0,1.0,84.0,30,365,30,30,1125,1125,30.0,1125.0,9,True
798085838750475432,Alafia-Cozy JFK area home,within an hour,False,1,True,True,2023,100.0,97.0,True,Jamaica,Queens,40.6811111,-73.7890264,Private room,2,1.0,1.0,1.0,118.0,1,10,1,1,10,10,1.0,10.0,11,False
